                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89126,                 1.6655,                 1.2196,                0.56331,                0.70011,                0.60026,                0.35163,                 1.2063,                 1.6776,                 1.4617,             0.00055323,             0.00055323,             0.00055323
                      2,                0.98924,                 1.1201,                 1.2419,                  0.582,                0.65483,                0.58847,                 0.3288,                  1.299,                 1.5689,                 1.5127,              0.0010869,              0.0010869,              0.0010869
                      3,                  1.027,                 1.0565,                  1.265,                0.59408,                0.61669,                0.58356,                0.35088,                 1.3037,                 1.4936,                 1.5046,              0.0015986,              0.0015986,              0.0015986
                      4,                0.99218,                0.94634,                 1.2404,                0.56945,                0.54142,                0.52324,                0.31147,                 1.3083,                 1.6079,                 1.5312,               0.001568,               0.001568,               0.001568
                      5,                  0.964,                0.87365,                 1.2214,                0.49678,                0.69828,                0.57039,                0.34729,                   1.26,                 1.4513,                 1.5526,               0.001535,               0.001535,               0.001535
                      6,                0.94199,                0.81308,                 1.2099,                 0.5595,                0.63989,                0.60039,                0.38776,                 1.2129,                 1.3421,                 1.4805,               0.001502,               0.001502,               0.001502
                      7,                0.91176,                0.77449,                 1.1935,                0.54211,                0.68844,                0.60282,                0.38334,                 1.1729,                 1.2854,                 1.4325,               0.001469,               0.001469,               0.001469
                      8,                0.89101,                0.73954,                 1.1775,                0.59076,                0.65651,                0.59428,                0.39217,                 1.2415,                 1.3433,                 1.4994,               0.001436,               0.001436,               0.001436
                      9,                0.88092,                0.72829,                 1.1725,                0.55836,                0.73349,                0.65197,                0.44408,                  1.111,                 1.2306,                 1.4419,              0.0014029,              0.0014029,              0.0014029
                     10,                 0.8496,                0.69248,                 1.1546,                0.58893,                0.63203,                0.59629,                0.40909,                 1.0807,                 1.3381,                 1.3453,              0.0013699,              0.0013699,              0.0013699
                     11,                0.84895,                0.67809,                 1.1581,                0.53632,                 0.5722,                 0.4872,                0.33149,                 1.1307,                 1.6768,                 1.4044,              0.0013369,              0.0013369,              0.0013369
                     12,                 0.8462,                 0.6678,                 1.1513,                0.61911,                0.67457,                0.61861,                0.42007,                 1.1377,                 1.2331,                  1.404,              0.0013039,              0.0013039,              0.0013039
                     13,                0.82187,                 0.6472,                 1.1377,                0.62523,                0.61353,                0.58149,                0.38342,                 1.1566,                 1.4944,                 1.4029,              0.0012709,              0.0012709,              0.0012709
                     14,                0.81185,                0.62538,                 1.1313,                0.63507,                0.67986,                0.63819,                0.44789,                 1.0259,                 1.2868,                 1.2852,              0.0012379,              0.0012379,              0.0012379
                     15,                0.80886,                0.62398,                 1.1351,                0.58767,                0.60522,                0.58465,                0.41717,                 1.0754,                 1.5136,                 1.3546,              0.0012049,              0.0012049,              0.0012049
                     16,                 0.7938,                0.60547,                 1.1225,                0.58641,                0.74811,                0.65854,                0.46614,                 1.0413,                 1.2646,                 1.2851,              0.0011719,              0.0011719,              0.0011719
                     17,                0.79952,                0.59796,                 1.1257,                0.65027,                 0.6905,                0.67452,                0.46858,                 1.1233,                 1.1683,                 1.3778,              0.0011389,              0.0011389,              0.0011389
                     18,                0.77441,                0.57344,                 1.1112,                 0.6026,                0.60431,                0.58826,                0.41211,                 1.0566,                 1.5247,                 1.3456,              0.0011059,              0.0011059,              0.0011059
                     19,                0.76601,                0.56545,                 1.1045,                0.65471,                0.73256,                0.69877,                0.48289,                 1.1117,                 1.1442,                 1.4264,              0.0010729,              0.0010729,              0.0010729
                     20,                0.75361,                0.55633,                  1.098,                0.67521,                0.69204,                0.68719,                0.49171,                 1.0339,                 1.0586,                 1.3346,              0.0010399,              0.0010399,              0.0010399
                     21,                0.75219,                0.54443,                 1.0975,                0.56447,                0.69858,                0.61231,                0.43628,                 1.1067,                 1.4717,                 1.3831,              0.0010069,              0.0010069,              0.0010069
                     22,                0.75585,                0.55438,                 1.1022,                0.68439,                0.68588,                0.68681,                0.49166,                0.99468,                 1.1933,                 1.2717,             0.00097386,             0.00097386,             0.00097386
                     23,                0.73853,                0.53301,                 1.0936,                0.61369,                0.78804,                0.70072,                0.52051,                0.95464,                 1.0663,                 1.2534,             0.00094085,             0.00094085,             0.00094085
                     24,                0.73301,                0.51854,                 1.0852,                0.60153,                0.71702,                0.64903,                0.46951,                0.99027,                 1.1939,                 1.2884,             0.00090785,             0.00090785,             0.00090785
                     25,                0.72914,                0.52204,                 1.0874,                0.65496,                 0.6723,                0.64882,                0.47007,                0.99807,                 1.1696,                 1.2865,             0.00087484,             0.00087484,             0.00087484
                     26,                0.72271,                 0.5132,                 1.0839,                0.61422,                0.73914,                0.67752,                0.48959,                 1.0095,                 1.2269,                  1.284,             0.00084184,             0.00084184,             0.00084184
                     27,                0.72076,                0.50607,                  1.084,                0.61865,                0.73205,                0.67275,                 0.4818,                 1.0795,                 1.0861,                 1.3868,             0.00080883,             0.00080883,             0.00080883
                     28,                0.71052,                0.49165,                 1.0716,                0.55273,                0.74163,                0.60347,                0.43691,                  1.039,                 1.5001,                 1.2922,             0.00077582,             0.00077582,             0.00077582
                     29,                 0.6957,                0.48756,                 1.0679,                0.60345,                0.76132,                0.66057,                0.48097,                  1.049,                 1.2877,                 1.3333,             0.00074282,             0.00074282,             0.00074282
                     30,                0.69448,                0.48576,                 1.0698,                0.60565,                0.74283,                0.66681,                0.49029,                 1.0218,                 1.1124,                 1.3196,             0.00070981,             0.00070981,             0.00070981
                     31,                 0.6893,                0.47845,                 1.0653,                0.60543,                0.72625,                0.64397,                0.45823,                 1.0251,                 1.1534,                 1.3418,              0.0006768,              0.0006768,              0.0006768
                     32,                 0.6852,                0.47614,                 1.0663,                0.62614,                0.73019,                0.66812,                0.49494,                 1.0273,                 1.1595,                 1.3445,              0.0006438,              0.0006438,              0.0006438
                     33,                0.68604,                0.46575,                 1.0628,                0.66147,                0.74293,                0.69859,                0.51026,                0.99349,                 1.1504,                 1.2743,             0.00061079,             0.00061079,             0.00061079
                     34,                0.67418,                0.46042,                  1.054,                0.68074,                0.77183,                0.74464,                0.56114,                 1.0009,                0.98105,                 1.2996,             0.00057778,             0.00057778,             0.00057778
                     35,                0.66296,                  0.448,                 1.0508,                0.60029,                0.70996,                0.64452,                0.47537,                0.95521,                 1.1804,                  1.245,             0.00054478,             0.00054478,             0.00054478
                     36,                0.66462,                0.44138,                 1.0479,                0.66334,                0.73117,                 0.6821,                0.50071,                0.99239,                  1.097,                 1.3102,             0.00051177,             0.00051177,             0.00051177
                     37,                0.65756,                 0.4393,                 1.0441,                0.65035,                0.75147,                0.71422,                0.53523,                 1.0076,                 1.1083,                  1.309,             0.00047876,             0.00047876,             0.00047876
                     38,                0.64729,                 0.4285,                  1.041,                0.63577,                0.72587,                0.69228,                0.52351,                0.94619,                 1.1586,                 1.2342,             0.00044576,             0.00044576,             0.00044576
                     39,                0.64746,                0.42267,                 1.0452,                 0.6092,                0.73068,                0.65961,                0.49368,                0.95947,                 1.2472,                 1.2608,             0.00041275,             0.00041275,             0.00041275
                     40,                0.63562,                0.41717,                 1.0349,                0.67097,                0.72587,                 0.6941,                0.51241,                0.99668,                 1.1456,                 1.2873,             0.00037974,             0.00037974,             0.00037974
                     41,                0.57039,                0.31544,                0.99576,                0.61116,                0.72475,                0.64084,                0.46939,                 1.0153,                 1.3856,                 1.3595,             0.00034674,             0.00034674,             0.00034674
                     42,                0.55712,                0.30247,                0.98584,                0.67981,                0.68915,                 0.6697,                0.49009,                 1.0364,                 1.1676,                 1.3503,             0.00031373,             0.00031373,             0.00031373
                     43,                 0.5473,                0.29911,                0.97851,                0.64879,                0.71801,                0.65867,                0.49362,                0.96046,                 1.3057,                 1.2472,             0.00028072,             0.00028072,             0.00028072
                     44,                0.54142,                0.28989,                0.97932,                0.62582,                0.76547,                0.70581,                0.52739,                0.94252,                 1.1648,                 1.2301,             0.00024772,             0.00024772,             0.00024772
                     45,                0.52636,                0.28336,                0.96707,                 0.6079,                0.75572,                0.67737,                0.51102,                0.93779,                 1.2896,                 1.2486,             0.00021471,             0.00021471,             0.00021471
                     46,                 0.5225,                0.27946,                0.96893,                0.61262,                0.74332,                  0.681,                0.51624,                0.94792,                 1.2019,                 1.2605,              0.0001817,              0.0001817,              0.0001817
                     47,                0.51003,                0.26781,                0.96047,                0.62492,                0.75661,                0.67627,                  0.509,                0.94494,                 1.2239,                 1.2423,              0.0001487,              0.0001487,              0.0001487
                     48,                0.50921,                0.26692,                0.95795,                0.64763,                0.78052,                0.71355,                0.53717,                0.99361,                 1.1095,                 1.3056,             0.00011569,             0.00011569,             0.00011569
                     49,                0.50335,                0.26785,                0.95408,                0.68926,                 0.7043,                0.70446,                0.53353,                0.94685,                 1.1567,                 1.2572,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.49493,                0.26018,                0.95177,                0.68782,                0.71473,                0.70899,                0.53565,                0.96063,                 1.1351,                 1.2587,             4.9677e-05,             4.9677e-05,             4.9677e-05
